location_id,year_id,state_name,mean,lower,upper,data,model
523,2000,Alabama,5569.64335723056,5389.11135723056,5750.17535723056,5727.82010067693,Aggregate
523,2001,Alabama,5788.67016315287,5608.13816315287,5969.20216315287,5918.95960201999,Aggregate
523,2002,Alabama,6130.49724905359,5949.96524905359,6311.02924905359,6295.61914553145,Aggregate
523,2003,Alabama,6522.04399430855,6341.51199430855,6702.57599430855,6831.29968516486,Aggregate
523,2004,Alabama,6731.34753556042,6550.81553556043,6911.87953556042,6992.03315690348,Aggregate
523,2005,Alabama,6904.75584183881,6724.22384183881,7085.28784183882,7172.2516433827,Aggregate
523,2006,Alabama,7054.13125499049,6873.59925499049,7234.66325499049,7271.36385046276,Aggregate
523,2007,Alabama,7231.72462035646,7051.19262035646,7412.25662035646,7301.25314184021,Aggregate
523,2008,Alabama,7247.17314011247,7066.64114011247,7427.70514011247,7356.37798424743,Aggregate
523,2009,Alabama,7380.57324992556,7200.04124992556,7561.10524992556,7561.10483596003,Aggregate
523,2010,Alabama,7478.27169842601,7297.73969842601,7658.80369842601,7558.12758426278,Aggregate
523,2011,Alabama,7463.7406953404,7283.2086953404,7644.2726953404,7497.92878631711,Aggregate
523,2012,Alabama,7541.09615347869,7360.56415347869,7721.62815347869,7642.55890849672,Aggregate
523,2013,Alabama,7623.17337506527,7442.64137506527,7803.70537506527,7649.52729327591,Aggregate
523,2014,Alabama,7780.23923476585,7599.70723476585,7960.77123476585,7780.23923476584,Aggregate
523,2015,Alabama,8093.74811853209,7913.21611853209,8274.28011853209,,Aggregate
523,2016,Alabama,8331.70971982862,8151.17771982862,8512.24171982862,,Aggregate
523,2017,Alabama,8438.52299582195,8257.99099582195,8619.05499582195,,Aggregate
523,2018,Alabama,8471.23543534296,8290.70343534296,8651.76743534295,,Aggregate
523,2019,Alabama,8777.38153181378,8596.84953181378,8957.91353181378,,Aggregate
524,2000,Alaska,8038.89249965557,7382.82049965557,8694.96449965557,6669.36971340985,Aggregate
524,2001,Alaska,8645.24060764496,7989.16860764496,9301.31260764496,7383.25589203457,Aggregate
524,2002,Alaska,9067.73238973252,8411.66038973252,9723.80438973252,8009.40804975013,Aggregate
524,2003,Alaska,9535.98593888658,8879.91393888658,10192.0579388866,8435.39106865942,Aggregate
524,2004,Alaska,9832.4774412789,9176.4054412789,10488.5494412789,8728.17763942129,Aggregate
524,2005,Alaska,10252.9028843011,9596.83088430111,10908.9748843011,9352.39804082746,Aggregate
524,2006,Alaska,10451.1343340367,9795.06233403675,11107.2063340368,9491.39769025554,Aggregate
524,2007,Alaska,10588.8880430133,9932.81604301334,11244.9600430133,9787.37116653349,Aggregate
524,2008,Alaska,10696.8338197152,10040.7618197152,11352.9058197152,10102.011995335,Aggregate
524,2009,Alaska,11046.593499314,10390.521499314,11702.665499314,10390.5215412437,Aggregate
524,2010,Alaska,11147.2178003194,10491.1458003194,11803.2898003194,10804.3531943635,Aggregate
524,2011,Alaska,11338.2313031919,10682.1593031919,11994.303303192,11118.2245645429,Aggregate
